Sample ID,Pair ID,Participant ID,,"Filter = 1, Softener = 2",Latitude,Longitude,Year,Date,Time,Water System,"Source (1 = SW, GW
 = GW, Mix = Mix
)","Disinfectant (1 = Mono, 2 = Chlorine)",Monochloramine,Chlorine,Ammonia,Nitrate,Nitrite,Lead,Turbidity,pH,Temperature,Conductivity,ORP,TOC,TDS,THMs,HPC 1:1 (MPN/100ml),HPC 1:10 (MPN/100ml),HPC 1:100 (MPN/100ml),,,,,,,,
1,,2,FF,2,30.260716,-97.58736,2022,9-May,N/A,Manville,"Mix
",1,0.01,N/A,0.01,0.262,N/A,N/A,0.84,8.43,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
2,,2,AF,2,30.260716,-97.58736,2022,9-May,N/A,Manville,"Mix
",1,0.03,N/A,0.02,0.457,N/A,N/A,0.12,8.38,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
3,,3,FF,1,30.223599,-97.694056,2022,9-May,N/A,Austin Water,"SW
",1,0.21,N/A,0.19,0.194,N/A,N/A,0.19,9.51,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
4,,3,AF,1,30.223599,-97.694056,2022,9-May,N/A,Austin Water,"SW
",1,0.42,N/A,0.18,0.184,N/A,N/A,0.14,9.49,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
5,,4,FF,0,30.16174,-97.639709,2022,9-May,N/A,Austin Water,"SW
",1,2.31,N/A,0.09,0.17,N/A,N/A,0.15,9.42,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
6,,4,AF,0,30.16174,-97.639709,2022,9-May,N/A,Austin Water,"SW
",1,2.27,N/A,0.1,0.164,N/A,N/A,0.13,9.27,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
7,,9,FF,0,30.115869,-97.697498,2022,9-May,N/A,Creedmoor,"SW
",1,1.68,N/A,0.1,0.189,N/A,N/A,0.12,7.92,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
8,,9,AF,0,30.115869,-97.697498,2022,9-May,N/A,Creedmoor,"SW
",1,1.87,N/A,0.07,0.169,N/A,N/A,0.01,9.17,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
9,,11,FF,1,30.161888,-97.639534,2022,9-May,N/A,Austin Water,"SW
",1,0.64,N/A,0.22,0.067,N/A,N/A,0.12,9.45,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
10,,11,AF,1,30.161888,-97.639534,2022,9-May,N/A,Austin Water,"SW
",1,0.54,N/A,0.25,0.315,N/A,N/A,0.1,9.35,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
11,,2,FF,2,30.260716,-97.58736,2022,10-May,N/A,Manville,"Mix
",1,0.03,N/A,0.02,0.188,N/A,N/A,0.3,8.38,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
12,,2,AF,2,30.260716,-97.58736,2022,10-May,N/A,Manville,"Mix
",1,0.02,N/A,0.04,0.388,N/A,N/A,0.31,8.3,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
13,,3,FF,1,30.223599,-97.694056,2022,10-May,N/A,Austin Water,"SW
",1,1.18,N/A,0.32,0.224,N/A,N/A,0.16,9.48,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
14,,3,AF,1,30.223599,-97.694056,2022,10-May,N/A,Austin Water,"SW
",1,1.47,N/A,0.36,0.157,N/A,N/A,0.07,9.5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
15,,4,FF,0,30.16174,-97.639709,2022,10-May,N/A,Austin Water,"SW
",1,2.08,N/A,0.1,0.265,N/A,N/A,0.62,9.36,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
16,,4,AF,0,30.16174,-97.639709,2022,10-May,N/A,Austin Water,"SW
",1,2.04,N/A,0.11,0.233,N/A,N/A,0.17,9.42,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
17,,9,FF,0,30.115869,-97.697498,2022,10-May,N/A,Creedmoor,"SW
",1,1.73,N/A,0.07,0.313,N/A,N/A,0.12,9.26,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
18,,9,AF,0,30.115869,-97.697498,2022,10-May,N/A,Creedmoor,"SW
",1,1.68,N/A,0.09,0.327,N/A,N/A,0.03,9.43,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
19,,11,FF,1,30.161888,-97.639534,2022,10-May,N/A,Austin Water,"SW
",1,0.1,N/A,0.28,0.251,N/A,N/A,0.13,9.16,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
20,,11,AF,1,30.161888,-97.639534,2022,10-May,N/A,Austin Water,"SW
",1,0.1,N/A,0.27,0.235,N/A,N/A,0.05,9.18,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
21,,2,FF,2,30.260716,-97.58736,2022,11-May,N/A,Austin Water,"SW
",1,0,N/A,0.04,0.211,N/A,N/A,0.17,8.52,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
22,,2,AF,2,30.260716,-97.58736,2022,11-May,N/A,Austin Water,"SW
",1,0,N/A,0.03,0.125,N/A,N/A,0.02,8.49,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
23,,3,FF,1,30.223599,-97.694056,2022,11-May,N/A,Austin Water,"SW
",1,0.29,N/A,0.32,0.212,N/A,N/A,0.3,9.62,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
24,,3,AF,1,30.223599,-97.694056,2022,11-May,N/A,Austin Water,"SW
",1,0.14,N/A,0.38,0.194,N/A,N/A,0.01,9.42,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
25,,4,FF,0,30.16174,-97.639709,2022,11-May,N/A,Austin Water,"SW
",1,1.25,N/A,0.11,0.241,N/A,N/A,0.28,9.4,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
26,,4,AF,0,30.16174,-97.639709,2022,11-May,N/A,Austin Water,"SW
",1,1.71,N/A,0.09,0.221,N/A,N/A,0.08,9.16,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
27,,9,FF,0,30.115869,-97.697498,2022,11-May,N/A,Creedmoor,"SW
",1,1.4,N/A,0.01,0.26,N/A,N/A,0.43,9.33,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
28,,9,AF,0,30.115869,-97.697498,2022,11-May,N/A,Creedmoor,"SW
",1,1.54,N/A,0.02,0.252,N/A,N/A,0.06,9.43,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
29,,11,FF,1,30.161888,-97.639534,2022,11-May,N/A,Austin Water,"SW
",1,0,N/A,0.33,0.257,N/A,N/A,0.38,9.64,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
30,,11,AF,1,30.161888,-97.639534,2022,11-May,N/A,Austin Water,"SW
",1,0.31,N/A,0.3,0.246,N/A,N/A,0.12,9.71,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
31,,12,FF,0,29.986363,-97.890117,2022,11-May,N/A,Austin Water,"SW
",1,0,N/A,0.18,0.366,N/A,N/A,0.32,9.03,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
32,,12,AF,0,29.986363,-97.890117,2022,11-May,N/A,Austin Water,"SW
",1,0.72,N/A,0.23,0.361,N/A,N/A,0.15,9.04,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
33,,12,FF,0,29.986363,-97.890117,2022,11-May,N/A,Manville,"Mix
",1,1.2,N/A,0.07,0.446,N/A,N/A,0.22,9.14,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
34,,12,AF,0,29.986363,-97.890117,2022,11-May,N/A,Manville,"Mix
",1,1,N/A,0.08,0.454,N/A,N/A,0.07,9.1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
35,,9,Out,0,30.115869,-97.697498,2022,15-Aug,N/A,Creedmoor,"SW
",1,1.64,0.2,0.51,N/A,N/A,N/A,N/A,9.52,24.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
36,,11,Out,0,30.161888,-97.639534,2022,15-Aug,N/A,Austin Water,"SW
",1,1.04,0.11,0.68,N/A,N/A,N/A,N/A,9.64,28.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
37,,4,Out,0,30.16174,-97.639709,2022,15-Aug,N/A,Austin Water,"SW
",1,1.99,0.19,0.56,N/A,N/A,N/A,N/A,9.6,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
38,,3,Out,0,30.223599,-97.694056,2022,15-Aug,N/A,Austin Water,"SW
",1,1.69,0.17,0.72,N/A,N/A,N/A,N/A,9.67,30.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
39,,2,Out,0,30.260716,-97.58736,2022,15-Aug,N/A,Austin Water,"SW
",1,0.05,0.13,0.01,N/A,N/A,N/A,N/A,8.37,31.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
40,,1,Out,0,30.241118,-97.690918,2022,30-Aug,N/A,Austin Water,"GW
",1,1.64,0.25,0.52,N/A,N/A,N/A,0.04,9.9,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
41,,21,Out,0,30.167084,-97.628672,2022,30-Aug,N/A,Austin Water,"GW
",1,1.58,0.3,1.02,N/A,N/A,N/A,0.18,9.36,27.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
42,,10,Out,0,30.169582,-97.630117,2022,30-Aug,N/A,Austin Water,"GW
",1,1.73,0.21,0.52,N/A,N/A,N/A,0.05,9.35,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
43,,18,Out,0,30.258483,-97.589782,2022,30-Aug,N/A,Austin Water,"GW
",1,0.05,0.63,0,N/A,N/A,N/A,0.05,8.25,30.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
44,,22,Out,0,30.232333,-97.587903,2022,31-Aug,N/A,SWWC,"SW
",2,0.03,0.93,0.02,N/A,N/A,N/A,0.23,7.19,25.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
45,,25,Out,2,30.238243,-97.575826,2022,31-Aug,N/A,SWWC,"SW
",2,0.09,0,0.02,N/A,N/A,N/A,0.65,7.22,27.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
46,,26,Out,0,30.177475,-97.626429,2022,31-Aug,N/A,Austin Water,"GW
",1,1.59,0.18,0.51,N/A,N/A,N/A,0.13,9.1,29.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
47,,23,Out,0,30.248271,-97.585438,2022,31-Aug,N/A,SWWC,"SW
",2,0.03,0.73,0.01,N/A,N/A,N/A,0.78,7.3,32.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
48,,6,Out,0,30.234685,-97.497489,2022,6-Sep,N/A,Austin Water,"GW
",1,0.04,0.02,0.02,0.8,0.006,N/A,0.08,8.01,24.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
49,,17,Out,0,30.192267,-97.829346,2022,6-Sep,N/A,Manville,"Mix
",2,1.94,0.27,0.6,N/A,N/A,N/A,0.11,9.36,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
50,,20,Out,0,30.159154,-97.832366,2022,6-Sep,N/A,Austin Water,"GW
",1,1.86,0.15,0.56,N/A,N/A,N/A,0.18,9.37,29.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
51,,19,Out,0,30.487312,-97.639787,2022,6-Sep,N/A,Austin Water,"GW
",1,1.66,0.23,0.57,2,0.176,N/A,0.23,9.44,30.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
52,,16,Out,0,30.014437,-97.831227,2022,7-Sep,N/A,Goforth,"Mix
",2,0.04,1.36,0,0.6,0.002,N/A,0.22,7.46,26.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
53,,24,Out,1,30.002874,-97.797223,2022,7-Sep,N/A,Goforth,"Mix
",2,0.04,0.75,0.02,0.5,0.003,N/A,0.25,7.68,27.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
54,,12,Out,0,29.986363,-97.890117,2022,7-Sep,N/A,Austin Water,"GW
",1,0.05,1.05,0.01,0.6,0.24,N/A,0.23,7.5,27.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
55,,34,Out,0,30.34186,-97.556955,2022,15-Nov,N/A,Austin Water,"GW
",1,2.12,0.07,0.8,0.063,0.083,<0.412,0.8,9.06,17.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
56,,28,Out,0,30.101479,-97.604161,2022,15-Nov,N/A,Aqua WSC,"GW
",2,0.02,1.37,0.04,0.029,0.012,<0.412,0.07,7.96,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
57,,31,Out,0,30.144985,-97.480055,2022,15-Nov,N/A,Aqua WSC,"GW
",2,0.06,1.35,0.09,0.025,0.016,<0.412,0.11,7.96,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
58,,38,Out,0,30.169426,-97.629778,2022,15-Nov,N/A,Austin Water,"GW
",1,2.36,0.1,0.66,0.034,0.098,1.95,0.07,8.36,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
59,,39,Out,0,30.043711,-97.796758,2022,16-Nov,N/A,SWWC,"SW
",2,0.12,1.92,0.01,1.7,0.017,1.42,10.91,7.98,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
60,,33,Out,0,29.7842,-95.95191,2022,16-Nov,N/A,SWWC,"SW
",2,0.02,2.6,0.04,3.2,0.01,0.428,0.19,7.18,20.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
61,,27,Out,0,30.192108,-97.731877,2022,16-Nov,N/A,Austin Water,"GW
",1,1.59,0.14,0.46,1.3,0.153,<0.412,0.15,9.62,20.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
62,,36,Out,0,30.0673,-97.822124,2022,16-Nov,N/A,Goforth,"Mix
",2,0.05,1.36,0.01,2.3,0.014,2.6,0.16,7.83,20.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
63,,22,Out,0,30.232333,-97.587903,2023,23-May,11:50 AM,SWWC,"GW
",2,0.13,0.57,0.1,1.7,0.012,N/A,N/A,7.1,25.9,1165,662.6,N/A,N/A,N/A,53.9,341,100,,,,,,,,
64,,71,Out,2,30.238511,-97.580602,2023,23-May,11:22 AM,SWWC,"GW
",2,0.05,0.46,0.1,1.8,0.003,N/A,N/A,7,26,1248,626.6,N/A,N/A,N/A,>2419.6,>24196.0,9320,,,,,,,,
65,,76,Out,0,30.262774,-97.587871,2023,23-May,10:35 AM,SWWC,"GW
",2,0.05,0.91,0.1,1,0.005,N/A,N/A,8.12,26.2,409,616.8,N/A,N/A,N/A,<1,<10,100,,,,,,,,
66,,16,Out,0,30.014437,-97.831227,2023,24-May,10:24 AM,Goforth,"SW
",2,0.06,0.42,0.1,1.6,0.18,N/A,N/A,7.74,22.9,526.3,609.4,1.133,N/A,N/A,127.4,359,<100,,,,,,,,
67,,24,Out,1,30.002874,-97.797223,2023,24-May,11:15 AM,Goforth,"SW
",2,0.33,0.17,0.1,2.1,0.008,N/A,N/A,7.5,22.2,582.9,591.2,1.231,N/A,N/A,435.2,10,0,,,,,,,,
68,,36,Out,0,30.0673,-97.822124,2023,24-May,11:53 AM,Goforth,"SW
",2,0.04,1.22,0.1,1.5,0.006,N/A,N/A,7.95,25.1,556.3,586.7,1.122,N/A,N/A,24.1,0,0,,,,,,,,
69,,77,Out,1,30.064017,-97.82875,2023,24-May,12:30 PM,Goforth,"SW
",2,0.06,1.09,0.1,1.6,0.007,N/A,N/A,7.82,24.7,581.1,605.6,1.021,N/A,N/A,14.6,0,0,,,,,,,,
70,1,11,FF,1,30.161888,-97.639534,2023,25-May,11:34 AM,Austin Water,"SW
",1,0.93,0.17,0.24,0.8,0.105,0.1,N/A,9.74,27.9,38.7,285.1,N/A,N/A,N/A,>2419.6,1014,1080,,,,,,,,
71,1,11,AF,1,30.161888,-97.639534,2023,25-May,11:43 AM,Austin Water,"SW
",1,0.9,0.08,0.33,0.8,0.096,N/A,N/A,9.68,26.7,391.3,322.2,N/A,N/A,N/A,>2419.6,>24196,32550,,,,,,,,
72,1,11,Out,0,30.161888,-97.639534,2023,25-May,11:24 AM,Austin Water,"SW
",1,0.78,0.06,0.26,0.9,0.98,N/A,N/A,9.83,24.9,379.1,315.4,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
