Sample ID,Participant ID,Pair ID,Year,Date,Time,Water System,Population,"Source (1 = SW, GW
 = GW, Mix = Mix
)","Disinfectant (1 = Mono, 2 = Chlorine)",Sample Type,"Filter = 1, Softener = 2",Monochloramine,Chlorine,Ammonia,Nitrate,Nitrite,pH,Temperature,Conductivity,Turbidity,TDS,ORP,TOC,THMs,Lead,HPC 1:1 (MPN/100ml),HPC 1:10 (MPN/100ml),HPC 1:100 (MPN/100ml),HPC,LogHPC
141,94,18,2023,17-Nov,11:10 AM,Aqua WSC,,GW,2,FF,0,0.1,1.28,0.01,1.1,0.005,7.63,20,1238,0.2,877,108,1.049,184.1,,344.8,10,200,200,2.301029996
142,94,18,2023,17-Nov,11:16 AM,Aqua WSC,,GW,2,FF,1,0.03,0.05,0.01,0.1,0.004,7.71,21.6,75.9,0,52,106,0.289,0,,2419.6,3654,2880,2880,3.459392488
143,94,18,2023,17-Nov,11:30 AM,Aqua WSC,,GW,2,Out,0,0.05,1.73,0.08,0.5,0.003,7.94,22.3,1235,0.23,867,106.9,3.232,214.2,,344.8,10,100,100,2
153,94,22,2024,26-Jan,7:06 AM,Aqua WSC,,GW,2,FF,0,0.08,1.8,0.27,1,0.003,7.64,14.1,1638,0.18,1620,88.6,0.765,,,191.8,63,100,100,2
154,94,22,2024,26-Jan,7:07 AM,Aqua WSC,,GW,2,FF,1,0.05,0.06,0.01,0.1,0.002,6.8,18,94.86,0.03,60.6,96.2,0.505,,,2419.6,7270,3790,3790,3.57863921
155,94,22,2024,26-Jan,7:14 AM,Aqua WSC,,GW,2,Out,0,0.07,1.86,0.01,0.7,0.003,7.95,13.5,1100,0.2,863.8,93.7,1.513,,,14.6,10,100,14.6,1.164352856
156,97,23,2024,26-Jan,9:13 AM,Aqua WSC,,GW,2,FF,0,0.08,1.8,0.01,0.7,0.003,7.22,13.3,504.7,0.13,384,87.9,0.633,,,1413.6,235,520,520,2.716003344
157,97,23,2024,26-Jan,9:20 AM,Aqua WSC,,GW,2,AF,0,0.01,1.75,0.01,0.9,0.003,7.63,16.5,504.5,0.12,381.3,84.7,0.676,,,,,,,
158,97,23,2024,26-Jan,9:25 AM,Aqua WSC,,GW,2,Out,0,0.04,1.87,0.01,0.2,0.003,7.76,16.5,499.5,0.07,377.5,87,0.793,,,2419.6,5172,3320,3320,3.521138084
70,11,1,2023,25-May,11:34 AM,Austin Water,,SW,1,FF,1,0.93,0.17,0.24,0.8,0.105,9.74,27.9,38.7,,,285.1,,,0.408,2419.6,1014,1080,1080,3.033423755
71,11,1,2023,25-May,11:43 AM,Austin Water,,SW,1,AF,1,0.9,0.08,0.33,0.8,0.096,9.68,26.7,391.3,,,322.2,,,,2419.6,24196,32550,24196,4.383743576
72,11,1,2023,25-May,11:24 AM,Austin Water,,SW,1,Out,0,0.78,0.06,0.26,0.9,0.098,9.83,24.9,379.1,,,315.4,,,,,,,,
73,26,2,2023,25-May,8:30 AM,Austin Water,,SW,1,FF,0,1.2,0.08,0.33,1.4,0.225,9.05,23.1,,,,368,,,0.408,2419.6,3255,3790,3255,3.512550993
74,26,2,2023,25-May,8:50 AM,Austin Water,,SW,1,AF,0,1.17,0.17,0.3,1.4,0.229,9.36,22.9,,,,389.2,,,,,,,,
75,26,2,2023,25-May,8:58 AM,Austin Water,,SW,1,Out,0,1.28,0.1,0.29,1.3,0.226,9.49,22.2,78.4,,,387,,,,2419.6,5172,2690,2690,3.42975228
76,60,3,2023,25-May,10:25 AM,Austin Water,,SW,1,FF,1,1.35,0.09,0.42,1.3,0.163,7.58,27.9,365.7,,,377.3,,,0.408,261.3,663,1090,663,2.821513528
77,60,3,2023,25-May,10:31 AM,Austin Water,,SW,1,AF,1,1.66,0.13,0.39,1.3,0.138,9.35,24.4,0.84,,,444.4,,,,,,,,
78,60,3,2023,25-May,10:45 AM,Austin Water,,SW,1,Out,0,1.48,0.1,0.48,1.2,0.141,9.55,25.2,362.8,,,389.2,,,,2419.6,24196,4020,4020,3.604226053
79,67,0,2023,25-May,9:45 AM,Austin Water,,SW,1,Out,0,1.71,0.1,0.55,1.4,0.14,9.58,24.9,367.3,,,526.3,,,,920.8,238,100,238,2.376576957
91,10,0,2023,1-Jun,8:00 AM,Austin Water,,SW,1,Out,0,1.82,0.01,0.5,1.3,0.07,9.66,24.6,1621,0.12,,362.2,2.337,,,122.3,85,100,100,2
92,26,0,2023,1-Jun,8:30 AM,Austin Water,,SW,1,Out,0,1.44,0.12,0.45,1.3,0.151,9.64,23.4,353,0.15,,374.8,2.242,,,2419.6,14136,26380,14136,4.150326536
93,60,0,2023,1-Jun,8:55 AM,Austin Water,,SW,1,Out,0,1.67,0.07,0.42,1.3,0.119,9.72,25.8,358.5,0.26,,367.7,2.288,,,2419.6,839,750,839,2.923761961
94,67,0,2023,1-Jun,9:15 AM,Austin Water,,SW,1,Out,0,1.65,0.01,0.47,1.3,0.13,9.72,26,359.8,0.21,,366.2,2.302,,,1986.3,816,410,816,2.911690159
112,10,0,2023,8-Jun,8:07 AM,Austin Water,,SW,1,Out,0,1.88,0.07,0.44,1.2,0.097,8.14,25.6,908.6,0.35,,330,2.211,,,37.7,41,100,41,1.612783857
113,26,0,2023,8-Jun,8:29 AM,Austin Water,,SW,1,Out,0,1.49,0.05,0.36,0.8,0.135,9.53,23.7,370.2,,,357,2.484,,,1986.3,1664,960,1664,3.221153322
114,60,0,2023,8-Jun,8:57 AM,Austin Water,,SW,1,Out,0,1.96,0.05,0.45,0.9,0.127,9.71,25.5,360.5,0.63,,348.6,2.171,,,2419.6,17329,16160,16160,4.208441356
115,67,0,2023,8-Jun,9:15 AM,Austin Water,,SW,1,Out,0,1.81,0.09,0.46,1.3,0.143,9.72,26.4,358.3,0.22,,343.1,0.013,,,1986.3,1401,1310,1401,3.146438135
122,10,13,2023,15-Jun,8:20 AM,Austin Water,,SW,1,FF,0,1.82,0.1,0.5,1.1,0.121,9.66,27.3,346.2,0.04,,378.9,,,0.408,2419.6,12033,7980,7980,3.902002891
123,10,13,2023,15-Jun,8:27 AM,Austin Water,,SW,1,AF,0,1.62,0.11,0.47,1.1,0.119,9.74,27.4,348.1,0,,371,,,,1732.9,1670,1340,1670,3.222716471
124,10,13,2023,15-Jun,8:01 AM,Austin Water,,SW,1,Out,0,2.23,0.08,0.5,1.1,0.125,8.98,26.5,466,0.02,,368,,,,20.1,52,100,52,1.716003344
125,11,0,2023,15-Jun,8:46 AM,Austin Water,,SW,1,Out,0,0.76,0.05,0.42,0.9,0.147,9.85,27.6,377.8,0,,362,,,,83.3,206,100,100,2
129,26,0,2023,25-Oct,11:08 AM,Austin Water,,SW,1,Out,0,1.39,0.1,0.35,0.1,0.16,9.31,26.3,358,0.1,240,148.5,3.332,37.2,,2419.6,3347,3410,3347,3.524655712
159,40,24,2024,27-Mar,11:43 AM,Austin Water,,SW,1,FF,0,2.35,0.04,0.5,0.5,0.025,9,19.1,446,0.04,352,,2.578,,,200.5,738,750,738,2.868056362
160,40,24,2024,27-Mar,11:48 AM,Austin Water,,SW,1,AF,0,2.51,0.04,0.5,1,0.013,9.51,19.8,382,0,364.5,,2.492,,,,,,,
161,40,24,2024,27-Mar,12:15 PM,Austin Water,,SW,1,Out,0,2.39,0.04,0.5,0.1,0.012,9.46,19.5,373,0,280,,3.17,,,22.2,87,200,87,1.939519253
162,43,25,2024,27-Mar,12:40 PM,Austin Water,,SW,1,FF,0,2.45,0.06,0.5,1.2,0.011,9.46,19.5,377,0.01,260,,2.708,,,13.7,10,100,13.7,1.136720567
163,43,25,2024,27-Mar,12:46 PM,Austin Water,,SW,1,AF,0,2.36,0.04,0.5,0.4,0.008,9.57,19.7,374,0,277.3,,2.731,,,,,,,
164,43,25,2024,27-Mar,12:55 PM,Austin Water,,SW,1,Out,0,2.46,0.1,0.5,0.6,0.009,9.63,20.4,373,0.01,276,,9.489,,,40.6,100,100,100,2
165,90,26,2024,27-Mar,1:40 AM,Austin Water,,SW,1,FF,0,2.01,0.05,0.5,1.2,0.054,9.6,21.4,366,0,285,,2.657,,,30.6,10,100,30.6,1.485721426
166,90,26,2024,27-Mar,1:45 AM,Austin Water,,SW,1,AF,0,2.18,0.08,0.5,0.9,0.019,9.66,20.5,377,0,279,,2.654,,,,,,,
167,90,26,2024,27-Mar,1:51 AM,Austin Water,,SW,1,Out,0,2.23,0.06,0.5,1,0.019,9.69,20.6,376,0,279,,3.359,,,200.5,591,750,591,2.771587481
168,7,27,2024,1-Apr,10:50 AM,Austin Water,,SW,1,FF,0,2.03,0.06,0.5,0.6,0.066,9.53,21.2,378,0,280,,2.558,,,200.5,238,200,200.5,2.302114377
169,7,27,2024,1-Apr,10:55 AM,Austin Water,,SW,1,AF,0,2,0.09,0.5,1.2,0.051,9.6,21.6,377,0,279,,2.734,,,,,,,
170,7,27,2024,1-Apr,11:05 AM,Austin Water,,SW,1,Out,0,2.02,0.12,0.5,0.5,0.049,9.61,22.1,377,0.04,278,,3.968,,,200.5,2005,100,200.5,2.302114377
171,79,28,2024,1-Apr,12:03 PM,Austin Water,,SW,1,FF,0,1.99,0.11,0.5,0.5,0.045,9.56,24.2,380,0,278,,2.855,,,22.2,10,100,22.2,1.346352974
172,79,28,2024,1-Apr,12:09 PM,Austin Water,,SW,1,AF,0,2.02,0.07,0.5,0.6,0.043,9.6,21.7,377,0,279,,2.619,,,,,,,
173,79,28,2024,1-Apr,12:15 PM,Austin Water,,SW,1,Out,0,2.1,0.06,0.5,1.1,0.039,9.62,21.6,377,0.04,279,,3.137,,,1,10,100,10,1
174,82,29,2024,1-Apr,11:25 AM,Austin Water,,SW,1,FF,0,2.03,0.05,0.5,1.2,0.062,9.6,22.3,382,0,261,,2.671,,,200.5,831,1110,831,2.919601024
175,82,29,2024,1-Apr,11:30 AM,Austin Water,,SW,1,AF,0,2.03,0.04,0.5,1.3,0.058,9.61,21.6,381,0,262,,2.615,,,,,,,
176,82,29,2024,1-Apr,11:38 AM,Austin Water,,SW,1,Out,0,1.99,0.08,0.5,1,0.055,9.62,22,381,0,281,,3.153,,,200.5,429,100,200.5,2.302114377
177,98,30,2024,1-Apr,10:10 AM,Austin Water,,SW,1,FF,0,2.08,0,0.5,0.7,0.056,9.33,22.8,389,0,286,,2.586,,,200.5,2005,1780,1780,3.250420002
178,98,30,2024,1-Apr,10:15 AM,Austin Water,,SW,1,AF,0,2.03,0.09,0.5,1,0.05,9.55,20.6,381,0.03,262,,2.758,,,,,,,
179,98,30,2024,1-Apr,10:27 AM,Austin Water,,SW,1,Out,0,2.09,0.11,0.5,1.2,0.049,9.62,21.2,381,0,262,,2.741,,,2419.6,478,100,478,2.679427897
180,40,31,2024,3-Apr,11:45 AM,Austin Water,,SW,1,FF,0,2.24,0.05,0.5,1.1,0.019,9.37,21.4,516,0,345,,2.822,,,200.5,738,750,738,2.868056362
181,40,31,2024,3-Apr,11:50 AM,Austin Water,,SW,1,AF,0,2.13,0.09,0.5,1.2,0.018,9.63,21,390,0.02,288,,3.062,,,,,,,
182,40,31,2024,3-Apr,12:08 PM,Austin Water,,SW,1,Out,0,2.17,0.05,0.5,1.2,0.016,9.68,20.5,379,0,280.1,,4.296,,,22.2,87,200,87,1.939519253
183,43,32,2024,3-Apr,12:30 PM,Austin Water,,SW,1,FF,0,2.12,0.08,0.5,1.1,0.02,9.53,24.1,373,0,273,,2.8,,,13.7,10,100,13.7,1.136720567
